ID,post_title,post_status,meta_key,meta_length,json_valid,preview
1975,"Istarska kobasica",draft,_dry_recipe_id,20,no,HR-IST-KOB-VODIC-001
1975,"Istarska kobasica",draft,_dry_recipe_full_markdown,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_sections,0,no,
1975,"Istarska kobasica",draft,_dry_verified_process,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_image_url,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_preview_mode,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_preview_source_post_id,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_public_update_allowed,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_public_verified,0,no,
1975,"Istarska kobasica",draft,_dry_recipe_private_clone_status,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_id,24,no,HR-PRI-KOB-PRIMORSKA-001
1976,"Primorska kobasica",draft,_dry_recipe_full_markdown,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_sections,0,no,
1976,"Primorska kobasica",draft,_dry_verified_process,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_image_url,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_preview_mode,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_preview_source_post_id,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_public_update_allowed,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_public_verified,0,no,
1976,"Primorska kobasica",draft,_dry_recipe_private_clone_status,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_id,16,no,HR-CRES-UDIC-001
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_full_markdown,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_sections,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_verified_process,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_image_url,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_preview_mode,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_preview_source_post_id,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_public_update_allowed,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_public_verified,0,no,
1977,"Creski udić — pršut od ovce",draft,_dry_recipe_private_clone_status,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_id,27,no,HR-CRES-JANJECA-ROSTILJ-001
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_full_markdown,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_sections,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_verified_process,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_image_url,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_preview_mode,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_preview_source_post_id,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_public_update_allowed,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_public_verified,0,no,
1978,"Creska janjeća roštilj kobasica",draft,_dry_recipe_private_clone_status,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_id,13,no,DRY--24CBF503
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_full_markdown,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_sections,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_verified_process,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_image_url,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_preview_mode,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_preview_source_post_id,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_public_update_allowed,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_public_verified,0,no,
1979,"Testni recept iz kalkulatora",draft,_dry_recipe_private_clone_status,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_id,13,no,DRY--45E2E24F
1980,"Davorova kobasa",draft,_dry_recipe_full_markdown,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_sections,0,no,
1980,"Davorova kobasa",draft,_dry_verified_process,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_image_url,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_preview_mode,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_preview_source_post_id,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_public_update_allowed,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_public_verified,0,no,
1980,"Davorova kobasa",draft,_dry_recipe_private_clone_status,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_id,50,no,IT-TRADICIJSKIH_TALIJANSKIH_RECEPATA_ZA_SUHOM-0001
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_full_markdown,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_sections,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_verified_process,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_image_url,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_preview_mode,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_preview_source_post_id,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_public_update_allowed,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_public_verified,0,no,
1981,"TRADICIJSKIH TALIJANSKIH RECEPATA ZA SUHOMESNATE PROIZVODE",draft,_dry_recipe_private_clone_status,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_id,22,no,MD-FINOCCHIONA_TOSCANA
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_full_markdown,4378,no,"## FINOCCHIONA TOSCANA FINOCCHIONA TOSCANA pripada tradiciji područja Toskana, Italija. Radi se kao suha salama od svinjetina/svinjski proizvodi, riba/morski proizvodi, uz soljenje, začinjavanje, punjenje u omotač te kontrolirano sušenje, dimljenje ili zrenje prema tipu proizvoda. Recept je prilagođ"
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_sections,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_verified_process,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_image_url,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_preview_mode,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_preview_source_post_id,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_public_update_allowed,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_public_verified,0,no,
1982,"FINOCCHIONA TOSCANA",publish,_dry_recipe_private_clone_status,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_id,28,no,MD-PROSCIUTTO_DI_SAN_DANIELE
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_full_markdown,3426,no,"## PROSCIUTTO DI SAN DANIELE PROSCIUTTO DI SAN DANIELE pripada skupini suhomesnatih i mesnih prerađevina. Recept je prilagođen šarži od 10 kg osnovne sirovine, s jasnim omjerima, postupkom i kontrolnim točkama za sigurnu izradu. ### Radni sažetak - Šarža: 10 kg osnovne sirovine ili mesne smjese. - T"
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_sections,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_verified_process,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_image_url,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_preview_mode,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_preview_source_post_id,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_public_update_allowed,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_public_verified,0,no,
1983,"PROSCIUTTO DI SAN DANIELE",publish,_dry_recipe_private_clone_status,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_id,18,no,MD-NDUJA_CALABRESE
1984,"NDUJA CALABRESE",publish,_dry_recipe_full_markdown,4217,no,"## NDUJA CALABRESE NDUJA CALABRESE pripada tradiciji područja Italija, Italija. Radi se kao suha kobasica od svinjetina/svinjski proizvodi, riba/morski proizvodi, uz soljenje, začinjavanje, punjenje u omotač te kontrolirano sušenje, dimljenje ili zrenje prema tipu proizvoda. Recept je prilagođen šar"
1984,"NDUJA CALABRESE",publish,_dry_recipe_sections,0,no,
1984,"NDUJA CALABRESE",publish,_dry_verified_process,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_image_url,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_preview_mode,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_preview_source_post_id,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_public_update_allowed,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_public_verified,0,no,
1984,"NDUJA CALABRESE",publish,_dry_recipe_private_clone_status,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_id,24,no,IT-SPECK_ALTO_ADIGE-0005
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_full_markdown,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_sections,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_verified_process,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_image_url,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_preview_mode,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_preview_source_post_id,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_public_update_allowed,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_public_verified,0,no,
1985,"SPECK ALTO ADIGE",draft,_dry_recipe_private_clone_status,0,no,
1986,"LARDO DI COLONNATA",publish,_dry_recipe_id,21,no,MD-LARDO_DI_COLONNATA
1986,"LARDO DI COLONNATA",publish,_dry_recipe_full_markdown,3965,no,"## LARDO DI COLONNATA LARDO DI COLONNATA pripada skupini suhomesnatih i mesnih prerađevina. Recept je prilagođen šarži od 10 kg osnovne sirovine, s jasnim omjerima, postupkom i kontrolnim točkama za sigurnu izradu. ### Radni sažetak - Šarža: 10 kg osnovne sirovine ili mesne smjese. - Tip proizvoda: "
1986,"LARDO DI COLONNATA",publish,_dry_recipe_sections,0,no,
1986,"LARDO DI COLONNATA",publish,_dry_verified_process,0,no,
