"id","title","slug","status","url","words","h2","internal_links","external_links","has_problem_solution","has_seo_title","has_seo_description","has_featured_image","content_type","intent","phase","product","level","content_qa_needed","seo_needed","issues"
"1470","Slavonski kulen: tradicija, tehnologija i zrenje","slavonski-domaci-kulen-ponos-hrvatske-tradicije","publish","https://drycured.com/2026/03/28/slavonski-domaci-kulen-ponos-hrvatske-tradicije/","948","9","6","0","0","1","1","1","product_article","process","drying_maturation","kulen","intermediate","1","0","words 948/1100; missing problem-solution"
"1472","Domaći čvarci: kako nastaju hrskavi, suhi i zlatnosmeđi","domaci-cvarci-iz-slavonije","publish","https://drycured.com/2026/03/28/domaci-cvarci-iz-slavonije/","710","8","3","0","0","1","1","1","practical_guide","process","preparation","lard_cracklings","beginner","1","0","words 710/1100; H2 8/9; links 3/5; missing problem-solution"
"2125","Kako prepoznati dobro meso za suhomesnate proizvode","kako-prepoznati-dobro-meso-za-suhomesnate-proizvode","publish","https://drycured.com/2024/01/19/kako-prepoznati-dobro-meso-za-suhomesnate-proizvode/","436","4","0","0","0","1","1","0","practical_guide","[""basics"",""safety""]","[""raw_material""]","[""general_multiple_products""]","beginner","1","0","words 436/1100; H2 4/9; links 0/5; missing problem-solution"
"2126","Sol u suhomesnatim proizvodima: čuvar sigurnosti, okusa i strukture","sol-najstariji-cuvar-mesa","publish","https://drycured.com/2024/01/20/sol-najstariji-cuvar-mesa/","546","6","3","0","0","1","1","0","scientific_explanation","basics","salting","general_multiple_products","beginner","1","0","words 546/1100; H2 6/9; links 3/5; missing problem-solution"
"2127","Suho, mokro i kombinirano soljenje: kako odabrati pravi postupak","suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu","publish","https://drycured.com/2024/01/18/suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu/","542","7","3","0","0","1","1","0","practical_guide","process","salting","general_multiple_products","beginner","1","0","words 542/1100; H2 7/9; links 3/5; missing problem-solution"
"2129","Kako sol putuje kroz meso: difuzija bez nagađanja","kako-sol-putuje-kroz-meso","publish","https://drycured.com/2024/01/16/kako-sol-putuje-kroz-meso/","487","6","3","0","0","1","1","0","scientific_explanation","understanding","salting","general_multiple_products","intermediate","1","0","words 487/1100; H2 6/9; links 3/5; missing problem-solution"
"2132","Fermentacija kobasica u kućnim uvjetima: kontrolirani početak sigurnog zrenja","fermentacija-kobasica-u-kucnim-uvjetima","publish","https://drycured.com/2024/01/13/fermentacija-kobasica-u-kucnim-uvjetima/","610","8","3","0","0","1","1","0","practical_guide","process","fermentation","sausages_salami","intermediate","1","0","words 610/1100; H2 8/9; links 3/5; missing problem-solution"
"2133","Case-hardening: tvrda kora, mekana sredina i kako zaustaviti problem","case-hardening-tvrda-kora-i-mekana-sredina","publish","https://drycured.com/2024/01/12/case-hardening-tvrda-kora-i-mekana-sredina/","783","11","4","0","0","1","1","0","troubleshooting","problems","drying_maturation","general_multiple_products","intermediate","1","0","words 783/1100; links 4/5; missing problem-solution"
"2134","Hladno, toplo i vruće dimljenje: tri postupka koja ne treba miješati","hladno-toplo-i-vruce-dimljenje-sto-nije-isto","publish","https://drycured.com/2024/01/11/hladno-toplo-i-vruce-dimljenje-sto-nije-isto/","804","10","3","2","0","1","1","0","practical_guide","process","smoking","general_multiple_products","beginner","1","0","words 804/1100; links 3/5; missing problem-solution"
"2135","Drvo za dimljenje suhomesnatih proizvoda: kako dobiti čist i blag dim","koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda","publish","https://drycured.com/2024/01/07/koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda/","791","10","3","1","0","1","1","0","practical_guide","equipment","smoking","general_multiple_products","beginner","1","0","words 791/1100; links 3/5; missing problem-solution"
