"id","title","slug","status","url","words","h2","internal_links","problem_solution","seo_title","seo_description","content_ok","seo_ok","status_ok","content_type","intent","phase","product","level"
"97","Kako napraviti domaće kobasice: vodič za početnike","kako-napraviti-domace-kobasice-vodic-za-pocetnike","publish","https://drycured.com/2025/02/16/kako-napraviti-domace-kobasice-vodic-za-pocetnike/","1289","20","9","1","1","1","1","1","1","practical_guide","process","stuffing","sausages_salami","beginner"
"99","Vodič za domaću izradu kobasica i suhomesnatih proizvoda","vodic-za-domacu-izradu-kobasica-i-suhomesnatih-proizvoda","publish","https://drycured.com/2025/02/16/vodic-za-domacu-izradu-kobasica-i-suhomesnatih-proizvoda/","1270","20","10","1","1","1","1","1","1","practical_guide","basics","general_process","general_multiple_products","beginner"
"429","Domaće uzgojeno meso: kada pomaže u izradi suhomesnatih proizvoda","prednosti-domace-uzgojenog-mesa-kod-izrade-suhomesnatih-proizvoda","publish","https://drycured.com/2025/02/22/prednosti-domace-uzgojenog-mesa-kod-izrade-suhomesnatih-proizvoda/","1203","18","6","1","1","1","1","1","1","general_article","raw_material","raw_material","general_multiple_products","beginner"
"464","Pasmine i tipovi svinja: zašto genetika, hranidba i mast mijenjaju proizvod","vrste-svinja","publish","https://drycured.com/2025/02/23/vrste-svinja/","1302","20","8","1","1","1","1","1","1","scientific_explanation","raw_material","raw_material","general_multiple_products","intermediate"
"1438","Proljeće na tanjuru: kako suhomesnate proizvode koristiti lakše i pametnije","proljece-na-tanjuru-kako-suseno-meso-ozivljava-sezonske-recepte","publish","https://drycured.com/2026/03/23/proljece-na-tanjuru-kako-suseno-meso-ozivljava-sezonske-recepte/","1273","20","8","1","1","1","1","1","1","seasonal_promotional","inspiration","storage_packaging","general_multiple_products","beginner"
"1439","Osnovna podjela suhomesnatih proizvoda: svježi, suhi, dimljeni i dugozreli","osnovna-podjela-suhomesnatih-proizvoda","publish","https://drycured.com/2026/03/23/osnovna-podjela-suhomesnatih-proizvoda/","1279","19","7","1","1","1","1","1","1","general_article","basics","general_process","general_multiple_products","beginner"
"1440","Što su suhomesnati proizvodi: osnovno objašnjenje za početnike","sto-su-suhomesnati-proizvodi","publish","https://drycured.com/2026/03/23/sto-su-suhomesnati-proizvodi/","1316","19","7","1","1","1","1","1","1","general_article","basics","general_process","general_multiple_products","beginner"
"1441","Uvod u svijet suhomesnatih proizvoda: od osnovnih pojmova do prve šarže","uvod-u-svijet-suhomesnatih-proizvoda","publish","https://drycured.com/2026/03/23/uvod-u-svijet-suhomesnatih-proizvoda/","1203","19","7","1","1","1","1","1","1","general_article","basics","general_process","general_multiple_products","beginner"
"1462","Proljetni izbor suhomesnatih proizvoda: čuvanje, rezanje i laganije posluživanje","proljetna-ponuda-suhomesnatih-proizvoda","publish","https://drycured.com/2026/03/28/proljetna-ponuda-suhomesnatih-proizvoda/","1320","21","8","1","1","1","1","1","1","seasonal_promotional","inspiration","storage_packaging","general_multiple_products","beginner"
"1464","Domaća slanina: prednosti, granice i pravilno čuvanje","prednosti-domace-slanine","publish","https://drycured.com/2026/03/28/prednosti-domace-slanine/","1201","18","6","1","1","1","1","1","1","product_article","basics","storage_packaging","pancetta_bacon","beginner"
"1470","Slavonski kulen: tradicija, tehnologija i zrenje","slavonski-domaci-kulen-ponos-hrvatske-tradicije","publish","https://drycured.com/2026/03/28/slavonski-domaci-kulen-ponos-hrvatske-tradicije/","1523","16","18","1","1","1","1","1","1","product_article","process","drying_maturation","kulen","intermediate"
"1472","Domaći čvarci: kako nastaju hrskavi, suhi i zlatnosmeđi","domaci-cvarci-iz-slavonije","publish","https://drycured.com/2026/03/28/domaci-cvarci-iz-slavonije/","1287","15","17","1","1","1","1","1","1","practical_guide","process","preparation","lard_cracklings","beginner"
"1480","Domaća kobasica: tradicija, postupak i siguran početnički redoslijed","domaca-kobasica-tradicija-na-vasem-stolu","publish","https://drycured.com/2026/03/28/domaca-kobasica-tradicija-na-vasem-stolu/","1294","19","17","1","1","1","1","1","1","practical_guide","process","stuffing","sausages_salami","beginner"
"1632","Kalkulator i digitalni alati: kako recept pretvoriti u sigurnu šaržu","kalkulator-novosti-v3","publish","https://drycured.com/2026/05/05/kalkulator-novosti-v3/","1273","20","8","1","1","1","1","1","1","news_system","tools","general_process","general_multiple_products","beginner"
"2125","Kako prepoznati dobro meso za suhomesnate proizvode","kako-prepoznati-dobro-meso-za-suhomesnate-proizvode","publish","https://drycured.com/2024/01/19/kako-prepoznati-dobro-meso-za-suhomesnate-proizvode/","1118","12","12","1","1","1","1","1","1","practical_guide","[""basics"",""safety""]","[""raw_material""]","[""general_multiple_products""]","beginner"
"2126","Sol u suhomesnatim proizvodima: čuvar sigurnosti, okusa i strukture","sol-najstariji-cuvar-mesa","publish","https://drycured.com/2024/01/20/sol-najstariji-cuvar-mesa/","1157","13","15","1","1","1","1","1","1","scientific_explanation","basics","salting","general_multiple_products","beginner"
"2127","Suho, mokro i kombinirano soljenje: kako odabrati pravi postupak","suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu","publish","https://drycured.com/2024/01/18/suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu/","1153","14","14","1","1","1","1","1","1","practical_guide","process","salting","general_multiple_products","beginner"
"2128","Redoslijed izrade suhomesnatih proizvoda: zašto se faze ne smiju preskakati","redoslijed-izrade-suhomesnatih-proizvoda-bez-preskakanja-faza","publish","https://drycured.com/2024/01/17/redoslijed-izrade-suhomesnatih-proizvoda-bez-preskakanja-faza/","1269","18","16","1","1","1","1","1","1","practical_guide","process","general_process","general_multiple_products","beginner"
"2129","Kako sol putuje kroz meso: difuzija bez nagađanja","kako-sol-putuje-kroz-meso","publish","https://drycured.com/2024/01/16/kako-sol-putuje-kroz-meso/","1172","14","14","1","1","1","1","1","1","scientific_explanation","understanding","salting","general_multiple_products","intermediate"
"2130","Priprema i namakanje crijeva prije punjenja: mali korak koji čuva šaržu","priprema-i-namakanje-crijeva-prije-punjenja","publish","https://drycured.com/2024/01/15/priprema-i-namakanje-crijeva-prije-punjenja/","1256","19","8","1","1","1","1","1","1","practical_guide","process","stuffing","sausages_salami","beginner"
"2131","Tekućina od češnjaka: čista aroma bez zelenih mrlja u presjeku","tekucina-od-cesnjaka-cista-aroma-bez-zelenih-mrlja-u-presjeku","publish","https://drycured.com/2024/01/14/tekucina-od-cesnjaka-cista-aroma-bez-zelenih-mrlja-u-presjeku/","1285","17","5","1","1","1","1","1","1","practical_guide","process","preparation","sausages_salami","beginner"
"2132","Fermentacija kobasica u kućnim uvjetima: kontrolirani početak sigurnog zrenja","fermentacija-kobasica-u-kucnim-uvjetima","publish","https://drycured.com/2024/01/13/fermentacija-kobasica-u-kucnim-uvjetima/","1188","15","16","1","1","1","1","1","1","practical_guide","process","fermentation","sausages_salami","intermediate"
"2133","Case-hardening: tvrda kora, mekana sredina i kako zaustaviti problem","case-hardening-tvrda-kora-i-mekana-sredina","publish","https://drycured.com/2024/01/12/case-hardening-tvrda-kora-i-mekana-sredina/","1364","18","15","1","1","1","1","1","1","troubleshooting","problems","drying_maturation","general_multiple_products","intermediate"
"2134","Hladno, toplo i vruće dimljenje: tri postupka koja ne treba miješati","hladno-toplo-i-vruce-dimljenje-sto-nije-isto","publish","https://drycured.com/2024/01/11/hladno-toplo-i-vruce-dimljenje-sto-nije-isto/","1385","17","16","1","1","1","1","1","1","practical_guide","process","smoking","general_multiple_products","beginner"
"2135","Drvo za dimljenje suhomesnatih proizvoda: kako dobiti čist i blag dim","koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda","publish","https://drycured.com/2024/01/07/koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda/","1372","17","15","1","1","1","1","1","1","practical_guide","equipment","smoking","general_multiple_products","beginner"
"2136","Zašto se kobasica ne smije sušiti prebrzo: tvrda kora nije znak gotovosti","zasto-se-kobasica-ne-smije-susiti-prebrzo","publish","https://drycured.com/2024/01/10/zasto-se-kobasica-ne-smije-susiti-prebrzo/","1292","16","16","1","1","1","1","1","1","troubleshooting","problems","drying_maturation","sausages_salami","beginner"
"2137","Kako pratiti gubitak mase tijekom sušenja: vaga kao najjednostavniji instrument","kako-pratiti-gubitak-mase-tijekom-susenja","publish","https://drycured.com/2024/01/09/kako-pratiti-gubitak-mase-tijekom-susenja/","1333","17","16","1","1","1","1","1","1","practical_guide","process","drying_maturation","general_multiple_products","beginner"
"2138","Plemenita plijesan: kada je bijeli štit, a kada ozbiljno upozorenje","plemenita-plijesan-bijeli-stit-ili-upozorenje","publish","https://drycured.com/2024/01/08/plemenita-plijesan-bijeli-stit-ili-upozorenje/","1322","18","17","1","1","1","1","1","1","troubleshooting","problems","drying_maturation","general_multiple_products","intermediate"
"2139","Temperatura, vlaga i zrak: tri stupa dobrog sušenja i zrenja","temperatura-vlaga-i-zrak-tri-stupa-zrenja","publish","https://drycured.com/2024/01/06/temperatura-vlaga-i-zrak-tri-stupa-zrenja/","1293","16","16","1","1","1","1","1","1","scientific_explanation","understanding","drying_maturation","general_multiple_products","intermediate"
"2140","Punjenje kobasica bez zračnih džepova: pritisak, omotač i miran rad","punjenje-kobasica-bez-zracnih-dzepova","publish","https://drycured.com/2024/01/05/punjenje-kobasica-bez-zracnih-dzepova/","1120","18","7","1","1","1","1","1","1","practical_guide","process","stuffing","sausages_salami","beginner"
"2141","Najčešće greške kod kobasica: uzroci, znakovi i konkretna rješenja","najcesce-greske-kod-kobasica-i-kako-ih-ispraviti","publish","https://drycured.com/2024/01/04/najcesce-greske-kod-kobasica-i-kako-ih-ispraviti/","1304","17","17","1","1","1","1","1","1","troubleshooting","problems","general_process","sausages_salami","beginner"
"2142","Dnevnik šarže: najjeftiniji alat za učenje i ponavljanje dobre proizvodnje","dnevnik-sarze-najjeftiniji-alat-za-ucenje","publish","https://drycured.com/2024/01/03/dnevnik-sarze-najjeftiniji-alat-za-ucenje/","1283","19","12","1","1","1","1","1","1","practical_guide","process","general_process","general_multiple_products","beginner"
"2143","Zašto svi recepti na drycured.com kreću od 10 kg mesa","zasto-svi-recepti-na-drycured-com-krecu-od-10-kg-mesa","publish","https://drycured.com/2024/01/02/zasto-svi-recepti-na-drycured-com-krecu-od-10-kg-mesa/","1321","19","6","1","1","1","1","1","1","standards","basics","general_process","general_multiple_products","beginner"
"2144","Sigurnost hrane kod suhomesnatih proizvoda: bez panike, ali bez improvizacije","sigurnost-hrane-kod-suhomesnatih-proizvoda-bez-panike","publish","https://drycured.com/2024/01/01/sigurnost-hrane-kod-suhomesnatih-proizvoda-bez-panike/","1106","14","14","1","1","1","1","1","1","practical_guide","safety","general_process","general_multiple_products","beginner"
"2829","Zašto suhomesnati proizvod nije samo recept","zasto-suhomesnati-proizvod-nije-samo-recept","publish","https://drycured.com/2024/01/21/zasto-suhomesnati-proizvod-nije-samo-recept/","1210","18","7","1","1","1","1","1","1","general_article","understanding","general_process","general_multiple_products","beginner"
"2830","Povijest sušenja mesa: kako su sol, dim i vrijeme čuvali hranu","povijest-susenja-mesa-sol-dim-vrijeme","publish","https://drycured.com/2024/01/22/povijest-susenja-mesa-sol-dim-vrijeme/","1189","18","8","1","1","1","1","1","1","tradition_culture","tradition","general_process","general_multiple_products","beginner"
"2831","Pasmina, prehrana i mast: zašto sirovina odlučuje o okusu","pasmina-prehrana-i-mast-zasto-sirovina-odlucuje-o-okusu","publish","https://drycured.com/2024/01/23/pasmina-prehrana-i-mast-zasto-sirovina-odlucuje-o-okusu/","1154","16","12","1","1","1","1","1","1","scientific_explanation","[""understanding""]","[""raw_material""]","[""general_multiple_products""]","advanced"
"2832","Mast u suhomesnatim proizvodima: neprijatelj ili nositelj okusa","mast-u-suhomesnatim-proizvodima-nositelj-okusa","publish","https://drycured.com/2024/01/24/mast-u-suhomesnatim-proizvodima-nositelj-okusa/","1141","16","12","1","1","1","1","1","1","product_article","[""inspiration""]","[""raw_material""]","[""lard_cracklings""]","intermediate"
"2833","PSE i DFD meso: kako loša sirovina pokvari dobar postupak","pse-i-dfd-meso-kako-losa-sirovina-pokvari-dobar-postupak","publish","https://drycured.com/2024/01/25/pse-i-dfd-meso-kako-losa-sirovina-pokvari-dobar-postupak/","1156","16","12","1","1","1","1","1","1","scientific_explanation","[""safety"",""understanding""]","[""raw_material""]","[""general_multiple_products""]","advanced"
