"id","title","url","words","h2","internal_links","has_problem_solution"
"1470","Slavonski kulen: tradicija, tehnologija i zrenje","https://drycured.com/2026/03/28/slavonski-domaci-kulen-ponos-hrvatske-tradicije/","948","9","6","0"
"1472","Domaći čvarci: kako nastaju hrskavi, suhi i zlatnosmeđi","https://drycured.com/2026/03/28/domaci-cvarci-iz-slavonije/","710","8","3","0"
"2132","Fermentacija kobasica u kućnim uvjetima: kontrolirani početak sigurnog zrenja","https://drycured.com/2024/01/13/fermentacija-kobasica-u-kucnim-uvjetima/","610","8","3","0"
"2133","Case-hardening: tvrda kora, mekana sredina i kako zaustaviti problem","https://drycured.com/2024/01/12/case-hardening-tvrda-kora-i-mekana-sredina/","783","11","4","0"
"2134","Hladno, toplo i vruće dimljenje: tri postupka koja ne treba miješati","https://drycured.com/2024/01/11/hladno-toplo-i-vruce-dimljenje-sto-nije-isto/","804","10","3","0"
"2135","Drvo za dimljenje suhomesnatih proizvoda: kako dobiti čist i blag dim","https://drycured.com/2024/01/07/koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda/","791","10","3","0"
"2136","Zašto se kobasica ne smije sušiti prebrzo: tvrda kora nije znak gotovosti","https://drycured.com/2024/01/10/zasto-se-kobasica-ne-smije-susiti-prebrzo/","710","9","4","0"
"2137","Kako pratiti gubitak mase tijekom sušenja: vaga kao najjednostavniji instrument","https://drycured.com/2024/01/09/kako-pratiti-gubitak-mase-tijekom-susenja/","752","10","3","0"
"2138","Plemenita plijesan: kada je bijeli štit, a kada ozbiljno upozorenje","https://drycured.com/2024/01/08/plemenita-plijesan-bijeli-stit-ili-upozorenje/","741","11","5","0"
"2139","Temperatura, vlaga i zrak: tri stupa dobrog sušenja i zrenja","https://drycured.com/2024/01/06/temperatura-vlaga-i-zrak-tri-stupa-zrenja/","712","9","4","0"
"2141","Najčešće greške kod kobasica: uzroci, znakovi i konkretna rješenja","https://drycured.com/2024/01/04/najcesce-greske-kod-kobasica-i-kako-ih-ispraviti/","725","10","5","0"
"2837","Panceta: ravnoteža mesa, masti, soli i vremena","https://drycured.com/2024/01/29/panceta-zasto-trbuh-trazi-strpljenje-i-ravnotezu/","810","9","6","0"
"2842","Čuvanje nakon zrenja: kako ne pokvariti dobar suhomesnati proizvod na kraju","https://drycured.com/2024/02/03/cuvanje-nakon-zrenja-kako-ne-pokvariti-dobar-proizvod/","749","11","5","0"
"2854","Senzorska kontrola: što miris, dodir i presjek otkrivaju prije instrumenta","https://drycured.com/2024/02/15/senzorska-kontrola-nos-oko-ruka-prije-instrumenta/","741","11","5","0"
